updated_info,count
"Echo (ping) request  id=, /59262,  (no response found!)",77715
[SYN],8577
"[RST, ACK]",6429
[ACK],5398
Application Data,4029
[ACK]       [TCP segment of a reassembled PDU],1131
Application Data [TCP segment of a reassembled PDU],748
192.168.43.1 is at 00:c0:ca:97:cf:63 (duplicate use of 192.168.43.1 detected!),727
Standard query  A api.libelium.com,388
"[PSH, ACK]       [TCP segment of a reassembled PDU]",334
[TCP Retransmission]  [SYN],330
"[FIN, ACK]",296
"[TCP Retransmission]  [PSH, ACK]",292
"Application Data, Application Data",249
"[SYN, ACK]",192
Redirect             (Redirect for host),178
192.168.43.1 is at 00:c0:ca:97:cf:63,171
192.168.43.200 is at 00:c0:ca:97:cf:63,171
Standard query response  A api.libelium.com A 52.208.217.22,152
Client Hello,151
Who has 192.168.43.1? Tell 192.168.43.186,141
192.168.43.1 is at 6e:c7:ec:3c:f2:ba,141
Encrypted Alert,139
Server Hello,135
"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",135
"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message",107
"Certificate, Server Key Exchange, Server Hello Done",107
Who has 192.168.43.200? Tell 192.168.43.186,101
192.168.43.200 is at a0:20:a6:22:2d:c9,99
[RST],96
[TCP Keep-Alive ACK]  [ACK],85
[TCP Keep-Alive]  [ACK],85
Response,63
Request,63
"Application Data, Application Data, Application Data",35
Encrypted Handshake Message,31
192.168.43.186 is at 00:c0:ca:97:cf:63,30
Change Cipher Spec,28
Client Key Exchange,27
"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data",23
Who has 192.168.43.186? Tell 192.168.43.1,19
"Change Cipher Spec, Encrypted Handshake Message",18
Standard query  A fonts.gstatic.com,16
Standard query response  A fonts.gstatic.com CNAME gstaticadssl.l.google.com A 172.217.167.99,16
Standard query  AAAA fonts.gstatic.com,16
Standard query response  AAAA fonts.gstatic.com CNAME gstaticadssl.l.google.com AAAA 2404:6800:4006:806::2003,16
Standard query  AAAA www.google.com,15
Standard query  AAAA ssl.gstatic.com,15
Standard query  A www.google.com,15
Standard query response  A ssl.gstatic.com A 142.250.66.227,15
Standard query response  AAAA ssl.gstatic.com AAAA 2404:6800:4006:810::2003,15
Standard query response  A www.google.com A 142.250.66.196,15
Standard query  A ssl.gstatic.com,15
Standard query response  AAAA www.google.com AAAA 2404:6800:4006:811::2004,14
"Server Hello, Change Cipher Spec, Encrypted Handshake Message",13
"[TCP Retransmission]  [FIN, ACK]",11
"Certificate, Certificate Status, Server Key Exchange, Server Hello Done",9
"Server Key Exchange, Server Hello Done",9
Certificate [TCP segment of a reassembled PDU],9
Standard query response  A accounts.google.com A 172.217.25.141,8
Standard query  AAAA accounts.google.com,8
DHCP Request  - Transaction ID,8
Standard query  A accounts.google.com,8
Standard query response  AAAA play.google.com AAAA 2404:6800:4006:809::200e,7
Standard query response  A play.google.com A 216.58.203.110,7
Standard query  AAAA play.google.com,7
